Activity,Timestamp,Value
Pet Weight Recorded ,11/24 1:33AM,15.6 lbs
Cat Detected,11/24 1:30AM,-
Clean Cycle Complete,11/23 10:28PM,-
Clean Cycle In Progress,11/23 10:26PM,-
Pet Weight Recorded ,11/23 10:11PM,15.5 lbs
Cat Detected,11/23 10:08PM,-
Clean Cycle Complete,11/23 5:46PM,-
Cycle Interrupted,11/23 5:44PM,-
Clean Cycle In Progress,11/23 5:43PM,-
Pet Weight Recorded ,11/23 5:28PM,8.9 lbs
Cat Detected,11/23 5:26PM,-
Clean Cycle Complete,11/23 2:47PM,-
Clean Cycle In Progress,11/23 2:45PM,-
Pet Weight Recorded ,11/23 2:30PM,9.0 lbs
Cat Detected,11/23 2:26PM,-
Clean Cycle Complete,11/23 12:47PM,-
Clean Cycle In Progress,11/23 12:44PM,-
Pet Weight Recorded ,11/23 12:29PM,15.6 lbs
Cat Detected,11/23 12:27PM,-
Clean Cycle Complete,11/23 10:40AM,-
Clean Cycle In Progress,11/23 10:38AM,-
Pet Weight Recorded ,11/23 10:23AM,9.1 lbs
Pet Weight Recorded ,11/23 10:07AM,19.6 lbs
Cat Detected,11/23 10:06AM,-
Clean Cycle Complete,11/23 7:06AM,-
Clean Cycle In Progress,11/23 7:04AM,-
Pet Weight Recorded ,11/23 6:49AM,9.1 lbs
Pet Weight Recorded ,11/23 6:46AM,9.0 lbs
Cat Detected,11/23 6:45AM,-
Clean Cycle Complete,11/23 3:57AM,-
Clean Cycle In Progress,11/23 3:54AM,-
Pet Weight Recorded ,11/23 3:39AM,9.0 lbs
Cat Detected,11/23 3:37AM,-
Clean Cycle Complete,11/23 1:28AM,-
Pet Weight Recorded ,11/23 1:27AM,15.4 lbs
Cycle Interrupted,11/23 1:27AM,-
Clean Cycle In Progress,11/23 1:25AM,-
Pet Weight Recorded ,11/23 1:10AM,15.4 lbs
Cat Detected,11/23 1:08AM,-
Clean Cycle Complete,11/22 10:50PM,-
Clean Cycle In Progress,11/22 10:48PM,-
Pet Weight Recorded ,11/22 10:29PM,9.0 lbs
Cat Detected,11/22 10:28PM,-
Clean Cycle Complete,11/22 7:06PM,-
Clean Cycle In Progress,11/22 7:04PM,-
Pet Weight Recorded ,11/22 6:49PM,19.6 lbs
Pet Weight Recorded ,11/22 6:48PM,19.8 lbs
Pet Weight Recorded ,11/22 6:45PM,19.6 lbs
Pet Weight Recorded ,11/22 6:44PM,19.6 lbs
Cat Detected,11/22 6:44PM,-
Clean Cycle Complete,11/22 6:39PM,-
Clean Cycle In Progress,11/22 6:36PM,-
Pet Weight Recorded ,11/22 6:21PM,9.1 lbs
Cat Detected,11/22 6:20PM,-
Clean Cycle Complete,11/22 2:16PM,-
Clean Cycle In Progress,11/22 2:14PM,-
Pet Weight Recorded ,11/22 1:59PM,9.0 lbs
Cat Detected,11/22 1:58PM,-
Clean Cycle Complete,11/22 10:37AM,-
Clean Cycle In Progress,11/22 10:35AM,-
Pet Weight Recorded ,11/22 10:20AM,9.3 lbs
Pet Weight Recorded ,11/22 10:18AM,19.9 lbs
Pet Weight Recorded ,11/22 10:17AM,15.5 lbs
Cat Detected,11/22 10:12AM,-
Clean Cycle Complete,11/22 7:36AM,-
Clean Cycle In Progress,11/22 7:33AM,-
