Activity,Timestamp,Value
Cat Detected,9/18 10:50PM,-
Clean Cycle Complete,9/18 4:52PM,-
Clean Cycle In Progress,9/18 4:50PM,-
Pet Weight Recorded ,9/18 4:35PM,9.4 lbs
Pet Weight Recorded ,9/18 4:28PM,9.3 lbs
Cat Detected,9/18 4:28PM,-
Clean Cycle Complete,9/18 11:29AM,-
Clean Cycle In Progress,9/18 11:27AM,-
Pet Weight Recorded ,9/18 11:12AM,9.3 lbs
Cat Detected,9/18 11:09AM,-
Clean Cycle Complete,9/18 10:56AM,-
Cycle Interrupted,9/18 10:54AM,-
Clean Cycle In Progress,9/18 10:54AM,-
Pet Weight Recorded ,9/18 10:39AM,15.0 lbs
Cat Detected,9/18 10:37AM,-
Clean Cycle Complete,9/18 7:35AM,-
Clean Cycle In Progress,9/18 7:32AM,-
Pet Weight Recorded ,9/18 7:17AM,9.3 lbs
Cat Detected,9/18 7:17AM,-
Clean Cycle Complete,9/18 12:32AM,-
Clean Cycle In Progress,9/18 12:30AM,-
Pet Weight Recorded ,9/18 12:15AM,19.6 lbs
Pet Weight Recorded ,9/18 12:14AM,19.4 lbs
Pet Weight Recorded ,9/18 12:13AM,19.4 lbs
Cat Detected,9/18 12:12AM,-
Clean Cycle Complete,9/17 11:07PM,-
Clean Cycle In Progress,9/17 11:05PM,-
Pet Weight Recorded ,9/17 10:50PM,9.4 lbs
Cat Detected,9/17 10:47PM,-
Clean Cycle Complete,9/17 9:13PM,-
Cycle Interrupted,9/17 9:11PM,-
Clean Cycle In Progress,9/17 9:10PM,-
Pet Weight Recorded ,9/17 8:55PM,15.1 lbs
Cat Detected,9/17 8:53PM,-
Clean Cycle Complete,9/17 4:53PM,-
Clean Cycle In Progress,9/17 4:51PM,-
Pet Weight Recorded ,9/17 4:36PM,9.3 lbs
Cat Detected,9/17 4:34PM,-
Clean Cycle Complete,9/17 4:18PM,-
Clean Cycle In Progress,9/17 4:16PM,-
Cat Detected,9/17 4:01PM,-
Clean Cycle Complete,9/17 2:11PM,-
Clean Cycle In Progress,9/17 2:09PM,-
Pet Weight Recorded ,9/17 1:54PM,15.2 lbs
Pet Weight Recorded ,9/17 1:47PM,9.3 lbs
Cat Detected,9/17 1:47PM,-
Clean Cycle Complete,9/17 1:07PM,-
Clean Cycle In Progress,9/17 1:05PM,-
Cat Detected,9/17 12:50PM,-
Clean Cycle Complete,9/17 10:18AM,-
Pet Weight Recorded ,9/17 10:17AM,15.0 lbs
Cycle Interrupted,9/17 10:17AM,-
Clean Cycle In Progress,9/17 10:15AM,-
Pet Weight Recorded ,9/17 10:00AM,15.1 lbs
Cat Detected,9/17 9:57AM,-
Clean Cycle Complete,9/17 7:18AM,-
Clean Cycle In Progress,9/17 7:16AM,-
Pet Weight Recorded ,9/17 7:01AM,9.2 lbs
Cat Detected,9/17 6:59AM,-
Clean Cycle Complete,9/17 6:08AM,-
Clean Cycle In Progress,9/17 6:06AM,-
Pet Weight Recorded ,9/17 5:51AM,15.1 lbs
Pet Weight Recorded ,9/17 5:44AM,9.2 lbs
Cat Detected,9/17 5:42AM,-
Clean Cycle Complete,9/17 2:22AM,-
Clean Cycle In Progress,9/17 2:20AM,-
Pet Weight Recorded ,9/17 2:05AM,19.5 lbs
Pet Weight Recorded ,9/17 2:04AM,19.4 lbs
Cat Detected,9/17 2:02AM,-
Clean Cycle Complete,9/16 11:48PM,-
Pet Weight Recorded ,9/16 11:47PM,15.1 lbs
Cycle Interrupted,9/16 11:45PM,-
Cycle Interrupted,9/16 11:44PM,-
Cycle Interrupted,9/16 11:43PM,-
Pet Weight Recorded ,9/16 11:42PM,15.1 lbs
Cycle Interrupted,9/16 11:42PM,-
Clean Cycle In Progress,9/16 11:42PM,-
Pet Weight Recorded ,9/16 11:26PM,15.1 lbs
