Activity,Timestamp,Value
Clean Cycle Complete,1/23 11:16PM,-
Clean Cycle In Progress,1/23 11:14PM,-
Pet Weight Recorded ,1/23 10:49PM,16.0 lbs
Cat Detected,1/23 10:47PM,-
Clean Cycle Complete,1/23 10:12PM,-
Clean Cycle In Progress,1/23 10:10PM,-
Pet Weight Recorded ,1/23 9:45PM,8.8 lbs
Pet Weight Recorded ,1/23 9:31PM,18.6 lbs
Cat Detected,1/23 9:30PM,-
Clean Cycle Complete,1/23 6:25PM,-
Clean Cycle In Progress,1/23 6:23PM,-
Pet Weight Recorded ,1/23 5:57PM,7.4 lbs
Pet Weight Recorded ,1/23 5:55PM,9.0 lbs
Clean Cycle Complete,1/23 4:35PM,-
Clean Cycle In Progress,1/23 4:33PM,-
Pet Weight Recorded ,1/23 4:08PM,7.4 lbs
Pet Weight Recorded ,1/23 3:58PM,8.9 lbs
Cat Detected,1/23 3:58PM,-
Clean Cycle Complete,1/23 1:43PM,-
Clean Cycle In Progress,1/23 1:41PM,-
Pet Weight Recorded ,1/23 1:15PM,18.9 lbs
Cat Detected,1/23 1:15PM,-
Clean Cycle Complete,1/23 1:03PM,-
Cycle Interrupted,1/23 1:01PM,-
Pet Weight Recorded ,1/23 1:01PM,8.6 lbs
Cycle Interrupted,1/23 1:00PM,-
Clean Cycle In Progress,1/23 1:00PM,-
Pet Weight Recorded ,1/23 12:23PM,18.7 lbs
Pet Weight Recorded ,1/23 12:22PM,18.9 lbs
Pet Weight Recorded ,1/23 12:10PM,18.6 lbs
Pet Weight Recorded ,1/23 12:00PM,18.7 lbs
Pet Weight Recorded ,1/23 11:50AM,18.7 lbs
Pet Weight Recorded ,1/23 11:39AM,18.8 lbs
Pet Weight Recorded ,1/23 11:15AM,18.7 lbs
Cat Detected,1/23 11:15AM,-
Clean Cycle Complete,1/23 10:13AM,-
Clean Cycle In Progress,1/23 10:11AM,-
Pet Weight Recorded ,1/23 9:38AM,19.0 lbs
Pet Weight Recorded ,1/23 9:21AM,9.0 lbs
Pet Weight Recorded ,1/23 9:10AM,19.0 lbs
Pet Weight Recorded ,1/23 8:44AM,19.0 lbs
Pet Weight Recorded ,1/23 8:42AM,18.9 lbs
Pet Weight Recorded ,1/23 8:16AM,18.9 lbs
Cat Detected,1/23 8:16AM,-
Clean Cycle Complete,1/23 8:13AM,-
Pet Weight Recorded ,1/23 3:42AM,14.2 lbs
Pet Weight Recorded ,1/23 1:10AM,14.1 lbs
Pet Weight Recorded ,1/23 12:46AM,14.0 lbs
Pet Weight Recorded ,1/23 12:23AM,14.0 lbs
Pet Weight Recorded ,1/23 12:19AM,13.9 lbs
Pet Weight Recorded ,1/23 12:13AM,14.1 lbs
Pet Weight Recorded ,1/23 12:04AM,15.9 lbs
Clean Cycle Complete,1/22 11:36PM,-
Pet Weight Recorded ,1/22 11:12PM,18.7 lbs
Pet Weight Recorded ,1/22 10:42PM,8.8 lbs
Pet Weight Recorded ,1/22 8:59PM,16.0 lbs
Pet Weight Recorded ,1/22 2:43PM,18.8 lbs
Pet Weight Recorded ,1/22 2:41PM,8.8 lbs
Pet Weight Recorded ,1/22 12:10PM,18.7 lbs
Pet Weight Recorded ,1/22 11:23AM,18.9 lbs
Clean Cycle Complete,1/22 11:20AM,-
Pet Weight Recorded ,1/22 12:56AM,18.7 lbs
Pet Weight Recorded ,1/21 10:18PM,15.9 lbs
Pet Weight Recorded ,1/21 9:11PM,18.8 lbs
Pet Weight Recorded ,1/21 9:10PM,18.9 lbs
Pet Weight Recorded ,1/21 8:49PM,19.0 lbs
Clean Cycle Complete,1/21 6:08PM,-
Clean Cycle In Progress,1/21 6:06PM,-
Pet Weight Recorded ,1/21 5:41PM,8.8 lbs
Pet Weight Recorded ,1/21 5:36PM,18.7 lbs
Pet Weight Recorded ,1/21 5:35PM,18.8 lbs
Cat Detected,1/21 5:35PM,-
Clean Cycle Complete,1/21 3:27PM,-
Pet Weight Recorded ,1/21 3:27PM,16.1 lbs
Cycle Interrupted,1/21 3:26PM,-
Clean Cycle In Progress,1/21 3:24PM,-
Pet Weight Recorded ,1/21 2:59PM,8.8 lbs
Cat Detected,1/21 2:59PM,-
Clean Cycle Complete,1/21 2:06PM,-
Clean Cycle In Progress,1/21 2:04PM,-
Pet Weight Recorded ,1/21 1:39PM,7.5 lbs
Cat Detected,1/21 1:38PM,-
Clean Cycle Complete,1/21 1:36PM,-
Cycle Interrupted,1/21 1:34PM,-
Clean Cycle In Progress,1/21 1:33PM,-
Pet Weight Recorded ,1/21 1:08PM,18.7 lbs
Cat Detected,1/21 1:05PM,-
Clean Cycle Complete,1/21 12:52PM,-
Clean Cycle In Progress,1/21 12:50PM,-
Pet Weight Recorded ,1/21 12:25PM,18.9 lbs
Pet Weight Recorded ,1/21 12:19PM,8.8 lbs
Cat Detected,1/21 12:16PM,-
Cat Detected,1/20 1:47PM,-
Clean Cycle Complete,1/20 12:53PM,-
Cycle Interrupted,1/20 12:52PM,-
Cycle Interrupted,1/20 12:50PM,-
Clean Cycle In Progress,1/20 12:50PM,-
Pet Weight Recorded ,1/20 12:25PM,8.9 lbs
